# Lexia 3 full USB dump (control+bulk+interrupt, включая пустые)
# ts,type,xfer,dir,ep,bus,dev,status,length,caplen,setup,data
1786904356.386379,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.386403,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.386502,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.387040,C,BULK,IN,5,1,16,0,31,31,,44091bc000090200aa00000000000009060001aa0000000030313131313341
1786904356.387120,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.387143,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.394481,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000070000aa00000000000000000000000000000030
1786904356.394536,C,BULK,OUT,6,1,16,0,25,0,,
1786904356.394720,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.500615,C,BULK,IN,5,1,16,0,3,3,,064000
1786904356.501103,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.501130,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.501390,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.501586,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.501848,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.501876,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.502133,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.502646,C,BULK,IN,5,1,16,0,25,25,,440915c0000000000000000000000007000003aa0000000029
1786904356.502842,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.502867,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.604712,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000120000aa00000000000000000000000000000025
1786904356.604781,C,BULK,OUT,6,1,16,0,25,0,,
1786904356.605000,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.632250,C,BULK,IN,5,1,16,0,3,3,,064000
1786904356.632810,S,BULK,OUT,6,1,16,4294967181,5,5,,410901c0f4
1786904356.632851,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.633045,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.633118,C,BULK,IN,5,1,16,0,4,4,,42410900
1786904356.633330,S,BULK,OUT,6,1,16,4294967181,5,5,,430901c0f2
1786904356.633371,C,BULK,OUT,6,1,16,0,5,0,,
1786904356.633549,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.634470,C,BULK,IN,5,1,16,0,64,64,,440945c0001200000000000000000012300003aa000000004150504c495f58535f46756a695f005031303631333841200056342e332e37004041435449410032
1786904356.634716,S,BULK,IN,5,1,16,4294967181,64,0,,
1786904356.634746,C,BULK,IN,5,1,16,0,9,9,,372e31302e3137007c
1786904356.634981,S,BULK,OUT,6,1,16,4294967181,3,3,,064409
1786904356.635024,C,BULK,OUT,6,1,16,0,3,0,,
1786904356.795916,S,BULK,OUT,6,1,16,4294967181,25,25,,400915c000fe0000aa00000000000000000000000000000039
